region,code,nom,nb_bv,inscrits,votants,taux_participation,nuls,exprimes,bulletins_blancs,taux_bulletins_blancs
AGNEBY-TIASSA,001,"ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",144,52106,14070,27.0,388,13682,76,0.56
AGNEBY-TIASSA,002,AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,0.65
AGNEBY-TIASSA,003,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,33.35,73,5101,24,0.47
AGNEBY-TIASSA,004,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23466,7650,32.6,241,7409,49,0.66
,053,"YAMOUSSOUKRO,COMMUNE",288,118151,36304,30.73,756,35548,327,0.92
FOLON,054,"GOULIA, TIENKO, MAHANDIANA-SOKOURANI ET KIMBIRILA-NORD, COMMUNES ET SOUS-PREFECTURES",98,30154,21695,71.95,296,21399,422,1.97
FOLON,055,"KANIASSO, MINIGNAN ET SOKORO, COMMUNES ET SOUS-PREFECTURES",60,19524,12753,65.32,144,12609,121,0.96
GBEKE,056,"ANDO-KEKRENOU, BEOUMI ET KONDROBO, COMMUNES ET SOUS-PREFECTURES",129,39082,15791,40.4,718,15073,166,1.1
GBEKE,057,"BODOKRO, LOLOBO ET N'GUESSANKRO, COMMUNES ET SOUS-PREFECTURES",76,20187,7420,36.76,236,7184,78,1.09
GBEKE,058,"BOTRO ET KROFOINSOU, COMMUNES ET SOUS-PREFECTURES",64,15712,6698,42.63,231,6467,56,0.87
GBEKE,059,"DIABO ET LANGUIBONOU, COMMUNES ET SOUS-PREFECTURES",108,27040,10747,39.74,363,10384,147,1.42
GBEKE,060,"BOUAKE, VILLE",710,277859,114172,41.09,1375,112797,1179,1.05
GBEKE,061,"BOUNDA, BROBO ET MAMINI, COMMUNES ET SOUS-PREFECTURES, BOUAKE, SOUS-PREFECTURE",136,29385,11859,40.36,511,11348,143,1.26
GBEKE,062,"DJEBONOUA, COMMUNE ET SOUS-PREFECTURE",53,13760,5286,38.42,173,5113,59,1.15
