region,code,nom,nb_bv,inscrits,votants,taux_participation,nuls,exprimes,bulletins_blancs,taux_bulletins_blancs
SUD-COMOE,182,"BONGO ET BONOUA, COMMUNES ET SOUS-PREFECTURES",152,56912,12764,22.43,325,12439,50,0.4
SUD-COMOE,183,"GRAND-BASSAM, COMMUNE ET SOUS-PREFECTURE",155,62844,9830,15.64,113,9717,93,0.96
SUD-COMOE,184,"NOE, NOUAMOU ET TIAPOUM, COMMUNES ET SOUS-PREFECTURES",62,17411,8000,45.95,261,7739,42,0.54
TCHOLOGO,185,"BILIMONO, KONG ET SIKOLO, COMMUNES ET SOUS-PREFECTURES",103,25546,23651,92.58,26,23625,11,0.05
TCHOLOGO,186,"FERKESSEDOUGOU,COMMUNE",84,33780,12675,37.52,239,12436,80,0.64
TCHOLOGO,187,"FERKESSEDOUGOU, SOUS PREFECTURE, KOUMBALA ET TOGONIERE, COMMUNES ET SOUS-PREFECTURES",106,31066,26516,85.35,91,26425,82,0.31
TCHOLOGO,188,"DIAWALA, NIELLE, ET TOUMOUKRO, COMMUNES ET SOUS-PREFECTURES",131,43211,40576,93.9,83,40493,87,0.21
TCHOLOGO,189,"KAOUARA ET OUANGOLODOUGOU, COMMUNES ET SOUS-PREFECTURES",78,27287,19350,70.91,163,19187,141,0.73
TONKPI,190,"BIANKOUMA, BLAPLEU, KPATA ET SANTA, COMMUNES ET SOUS-PREFECTURES",113,37201,14810,39.81,113,14697,150,1.02
TONKPI,191,"GBANGBEGOUINE, GBONNE ET GOUINE, COMMUNES ET SOUS-PREFECTURES",60,15101,7589,50.25,239,7350,94,1.28
