code_circ,region,parti,nom,score,pourcentage,elu
036,,INDEPENDANT,TIEDE ROBINSON POANHOULOU,71,1.02,0
036,,INDEPENDANT,COULIBALY KAYAFEHE LACINA,334,4.78,0
036,,RHDP,BAYALLA KOUYE MAYA HIPPOLYTE,4793,68.59,1
036,,CODE,VIMPLOU DJEHI GUEHE,55,0.79,0
036,,INDEPENDANT,GUIRE TCHERPKAHON EDGARD,87,1.24,0
036,,PDCI-RDA,GNONKONTE GNESSOA DESIRE,1585,22.68,0
037,,RHDP,OULOTO ANNE DESIREE,6465,60.88,1
037,,ADCI,DESSAON DOUANGNININ FABRICE,297,2.8,0
037,,INDEPENDANT,BROU KOUAME PACOME,124,1.17,0
037,,PDCI-RDA,ZION KAH DENIS,3619,34.08,0
038,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,ABOBO RENAISSANCE,916,0.87,0
038,DISTRICT AUTONOME D'ABIDJAN,AIDE,AGIR AUJOURDHUI POUR BATIR DEMAIN,1374,1.31,0
038,DISTRICT AUTONOME D'ABIDJAN,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",92947,88.45,1
038,DISTRICT AUTONOME D'ABIDJAN,PIA/PRI/CODE,OSONS LE CHANGEMENT,622,0.59,0
038,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,ENSEMBLE POUR UNE NOUVELLE VISION,647,0.62,0
038,DISTRICT AUTONOME D'ABIDJAN,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,7359,7.0,0
039,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,ADJAME DJIGUI,653,4.6,0
039,DISTRICT AUTONOME D'ABIDJAN,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",11152,78.6,1
039,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,ADJAME LE BARA,444,3.13,0
039,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,ALTERNATIVE NOUVELLE GENERATION,152,1.07,0
039,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,TOUS UNIS POUR UN ADJAME MEILLEUR,282,1.99,0
039,DISTRICT AUTONOME D'ABIDJAN,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1358,9.57,0
040,DISTRICT AUTONOME D'ABIDJAN,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",18012,80.49,1
040,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,UNIR POUR LE CHANGEMENT,1054,4.71,0
040,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,LE COEUR POUR ATTECOUBE,187,0.84,0
040,DISTRICT AUTONOME D'ABIDJAN,UNCI,SOLIDAIRE POUR TOUS,249,1.11,0
040,DISTRICT AUTONOME D'ABIDJAN,INDEPENDANT,DEVELOPPEMENT ET PROGRES POUR ATTECOUBE,1395,6.23,0
040,DISTRICT AUTONOME D'ABIDJAN,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1209,5.4,0
