REGIONCIRCONSCRIPTION,,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
TOTAL,,,25 338,8 597 092,3 012 094,"35,04%",68 525,2 943 569,29 578,"1,00%",,,2 913 991,,
AGNEBY-TIASSA,001,"ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",144,52 106,14070,"27,00%",388,13 682,76,"0,56%",INDEPENDANT,KOTO EHOU SOPIE,547,"4,00%",
,,,,,,,,,,,RHDP,KOFFI AKA CHARLES,9 078,"66,35%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YEPIE KOUASSI THEODORE,58,"0,42%",
,,,,,,,,,,,INDEPENDANT,TCHIMOU GNAMON BERTRAND,1 991,"14,55%",
,,,,,,,,,,,INDEPENDANT,BOKA BOKA MAURICE,674,"4,93%",
,,,,,,,,,,,ADCI,EDI DOFFOU PAUL,331,"2,42%",
,,,,,,,,,,,FPI,N'GUESSAN KOTCHI REMI,474,"3,46%",
,,,,,,,,,,,MGC,NANDO YAVO SERGE,453,"3,31%",
,002,AGBOVILLE COMMUNE,133,48 710,12821,"26,32%",317,12 504,81,"0,65%",ADCI,OCHOU WROHOUM MARIE-PASCALE,296,"2,37%",
,,,,,,,,,,,RHDP,DIMBA N'GOU PIERRE,10 675,"85,37%",ELU(E)
,,,,,,,,,,,INDEPENDANT,OCHO KOKOU BERTRAND,20,"0,16%",
,,,,,,,,,,,INDEPENDANT,TETCHI EHOUE ANTOINE,75,"0,60%",
,,,,,,,,,,,INDEPENDANT,N'GOU KOKOLA GRACIASSE,30,"0,24%",
,,,,,,,,,,,PDCI-RDA,OHOUNA N'TAKPE NICAISE,1 327,"10,61%",
,003,AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15 515,5174,"33,35%",73,5 101,24,"0,47%",INDEPENDANT,KOUAME YAO FREDERIC,439,"8,61%",
,,,,,,,,,,,INDEPENDANT,DOUMBIA HAMED CHEICK YVANN,1 549,"30,37%",
,,,,,,,,,,,INDEPENDANT,KPATA APPIA EDI JORES,863,"16,92%",
,,,,,,,,,,,INDEPENDANT,KIPRE LIPIA MIREILLE,38,"0,74%",
,,,,,,,,,,,INDEPENDANT,ADJA OWO GILLES ROGER,96,"1,88%",
,,,,,,,,,,,RHDP,ALAIN EKISSI,1 673,"32,80%",ELU(E)
,,,,,,,,,,,INDEPENDANT,BAMBA IDRISSA,256,"5,02%",
,,,,,,,,,,,PDCI-RDA,EKISSI HUBERSON EVARISTHO ALVARIS,163,"3,20%",
,004,"ANANGUIE, CECHI ET RUBINO, COMMUNES ET SOUS-PREFECTURES",72,23 466,7650,"32,60%",241,7 409,49,"0,66%",INDEPENDANT,AKOUE BEDE ANSELME,203,"2,74%",
,,,,,,,,,,,INDEPENDANT,TCHIMOU OKOMAN EMMANUEL,1 668,"22,51%",
,,,,,,,,,,,INDEPENDANT,OFFO ABOLE SYLVAIN,827,"11,16%",
,,,,,,,,,,,INDEPENDANT,N'GOU OKAUGNY YANNICK ANICET,110,"1,48%",
,,,,,,,,,,,RHDP,KOUASSI MARIE VIRGINIE,2 607,"35,19%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ATIN ERIC ALAIN,355,"4,79%",
,,,,,,,,,,,INDEPENDANT,OFFO BEDIA AKE VINCENT,197,"2,66%",
,,,,,,,,,,,INDEPENDANT,KOFFI ANGBA GUY RICHARD,65,"0,88%",
,,,,,,,,,,,FPI,ASSEKE BERNARD,117,"1,58%",
,,,,,,,,,,,PDCI-RDA,N'GUESSAN AKA ARNAUD,1 211,"16,34%",
