REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
MARAHOUE,140,"ZUENOULA, COMMUNE",48,18 540,5342,"28,81%",126,5 216,53,"1,02%",INDEPENDANT,DJE-BI-DJE OLIVIER VAMY,1 462,"28,03%",
,,,,,,,,,,,INDEPENDANT,BOUE BI IRIE MARCELIN,73,"1,40%",
,,,,,,,,,,,CODE,KAHOU BI KALOU ROMEO,4,"0,08%",
,,,,,,,,,,,INDEPENDANT,TAH BI TIE EVARISTE,9,"0,17%",
,,,,,,,,,,,RHDP,SOULEYMANE KONE,1 891,"36,25%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KARAMOKO GAHOUSSOU,284,"5,44%",
,,,,,,,,,,,INDEPENDANT,DIALLO HABIB PEGAHTIEN,766,"14,69%",
,,,,,,,,,,,INDEPENDANT,TOURE KALPI GISELLE,674,"12,92%",
MORONOU,154,"ARRAH, KOTOBI ET KREGBE, COMMUNES ET SOUS-PREFECTURES",95,34 560,14012,"40,54%",424,13 588,122,"0,90%",INDEPENDANT,BEKOIN EHORODOU JORIS BENJAMIN,244,"1,80%",
,,,,,,,,,,,RHDP,N'GUESSAN AHONDJOU,9 625,"70,83%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KOUADIO KOUAKOU JULIEN,178,"1,31%",
,,,,,,,,,,,PDCI-RDA,KWABENA KOUASSI STEPHANE,3 419,"25,16%",
,157,"BONGOUANOU, COMMUNE",68,24 670,7232,"29,31%",246,6 986,54,"0,77%",INDEPENDANT,AKA BONI MARC,1 152,"16,49%",
,,,,,,,,,,,INDEPENDANT,HAMIAN OI HAMIAN ETIENNE,76,"1,09%",
,,,,,,,,,,,INDEPENDANT,KOUAME NGUADAH GEORGES,177,"2,53%",
,,,,,,,,,,,RHDP,ASSOUGBA JACOB AMOIN,2 933,"41,98%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ETTIEN AKA JEAN-CHARLES,51,"0,73%",
,,,,,,,,,,,INDEPENDANT,AKESSE TEHIA EMILIENNE,72,"1,03%",
,,,,,,,,,,,ADCI,EHUI ASSOUO BENOIT,30,"0,43%",
,,,,,,,,,,,INDEPENDANT,GOLI TINAN ESTELLE AURELIE,624,"8,93%",
,,,,,,,,,,,FPI,KASSI PASCAL TANO,965,"13,81%",
,,,,,,,,,,,PDCI-RDA,KABLAN ANZIAN ANDRE,852,"12,20%",
,158,"ANDE, ASSIE-KOUMASSI ET N'GUESSANKRO, COMMUNES ET SOUS-PREFECTURES ET BONGOUANOU SOUS-PREFECTURE",92,34 019,10414,"30,61%",439,9 975,110,"1,10%",INDEPENDANT,KOUAME MESMIN KOMOE,2 214,"22,20%",
,,,,,,,,,,,INDEPENDANT,EHOUSSOU MELISSA SOMA FLORA,472,"4,73%",
,,,,,,,,,,,INDEPENDANT,ETILE ABOH FREDERIC,63,"0,63%",
,,,,,,,,,,,INDEPENDANT,TEHOUA KISSI THEOPHILE,100,"1,00%",
,,,,,,,,,,,RHDP,FETE ANE BENJAMIN,2 218,"22,24%",
,,,,,,,,,,,INDEPENDANT,AMOA EBY ANICET,824,"8,26%",
,,,,,,,,,,,INDEPENDANT,KOUA CHARLES-PHILIPPS KINIMO,327,"3,28%",
,,,,,,,,,,,ADCI,BOSSON BROU KOWOUSSA EVARISTE,249,"2,50%",
,,,,,,,,,,,FPI,DIBY KOKORA BOADY BERNARD,3 093,"31,01%",ELU(E)
,,,,,,,,,,,INDEPENDANT,AHONON ROMEO RAOUL ANE,60,"0,60%",
,,,,,,,,,,,INDEPENDANT,KASSI KOUAME JEAN-BAPTISTE,245,"2,46%",
